"pri_id","pri_cas","pri_name","pri_emissions","pri_correct","pri_score1","pri_score2","pri_score3","pri_score4","pri_score5"
"1031","95-51-2","2-chloroaniline","3_REACH","TRUE","0.00","0.00","0.23","1.20","1.50"
"4894","10311-84-9","Dialifos","2_Pest","TRUE","0.00","0.01","0.22","1.20","1.50"
"388","123-31-9","hydroquinone","3_REACH","TRUE","0.00","0.00","0.22","1.20","1.50"
"252","108-95-2","phenol","3_REACH","TRUE","0.00","0.00","0.22","1.20","1.50"
"532","2135-17-3","flumetasone","3_REACH","TRUE","0.00","0.00","0.22","1.20","1.50"
"419","13121-70-5","Cyhexatin","2_Pest","TRUE","0.00","0.00","0.19","0.71","1.09"
"2391","2439-35-2","2-(dimethylamino)ethyl acrylate","3_REACH","TRUE","0.00","0.00","0.17","1.20","1.50"
"668","51-21-8","fluorouracil","1_Pharma","TRUE","0.00","0.00","0.17","1.20","1.50"
"713","56-38-2","Parathion","2_Pest","TRUE","0.00","0.00","0.17","1.20","1.50"
"960","84-65-1","anthraquinone","3_REACH","TRUE","0.00","0.00","0.17","1.20","1.50"
"7","112-02-7","cetrimonium chloride","3_REACH","TRUE","0.00","0.00","0.16","1.20","1.50"
"3124","540-97-6","dodecamethylcyclohexasiloxane","3_REACH","TRUE","0.00","0.00","0.16","1.20","1.50"
"4310","613-62-7","2-(phenylmethoxy)naphthalene","3_REACH","TRUE","0.00","0.00","0.16","1.20","1.50"
"4153","96-76-4","2,4-di-tert-butylphenol","3_REACH","TRUE","0.00","0.00","0.06","1.10","1.20"
"413","128-37-0","2,6-di-tert-butyl-p-cresol","3_REACH","TRUE","0.00","0.00","0.06","1.09","1.20"
"811","70124-77-5","Flucythrinate","2_Pest","TRUE","0.00","0.00","0.06","0.98","1.20"
"47","333-41-5","Diazinon","2_Pest","TRUE","0.00","0.00","0.06","0.86","1.20"
"3771","793-24-8","N-1,3-dimethylbutyl-N'-phenyl-p-phenylenediamine","3_REACH","TRUE","0.00","0.00","0.04","1.10","1.20"
"1336","102-09-0","diphenyl carbonate","3_REACH","TRUE","0.00","0.00","0.04","1.09","1.20"
"1588","112-41-4","dodec-1-ene","3_REACH","TRUE","0.00","0.00","0.04","0.76","1.20"
"1599","112-72-1","tetradecanol","3_REACH","TRUE","0.00","0.00","0.04","0.57","1.20"
"1461","1073-69-4","(4-chlorophenyl)hydrazine","3_REACH","TRUE","0.00","0.00","0.03","1.10","1.20"
"1073","98-54-4","4-tert-butylphenol","3_REACH","TRUE","0.00","0.00","0.03","1.10","1.20"
"1328","101-77-9","4,4'-methylenedianiline","3_REACH","TRUE","0.00","0.00","0.03","1.10","1.20"
"495","1570-64-5","4-chloro-o-cresol","3_REACH","TRUE","0.00","0.00","0.03","1.10","1.20"
"386","123-30-8","4-aminophenol","3_REACH","TRUE","0.00","0.00","0.03","1.10","1.20"
"589","298-02-2","Phorate","2_Pest","TRUE","0.00","0.00","0.03","1.00","1.20"
"197","106-51-4","p-benzoquinone","3_REACH","TRUE","0.00","0.00","0.03","0.61","1.20"
"628","40487-42-1","Pendimethalin","2_Pest","TRUE","0.00","0.00","0.03","0.25","1.20"
"1679","118-82-1","2,2',6,6'-tetra-tert-butyl-4,4'-methylenediphenol","3_REACH","FALSE","0.00","0.00","0.03","0.67","1.20"
"528","2032-65-7","Methiocarb","2_Pest","TRUE","0.00","0.00","0.03","1.06","1.17"
"497","15972-60-8","Alachlor","2_Pest","TRUE","0.00","0.00","0.03","0.70","1.07"
"431","134523-00-5","Atorvastatin","1_Pharma","TRUE","0.00","0.00","0.03","0.50","1.01"
"747","60168-88-9","Fenarimol","2_Pest","TRUE","0.00","0.00","0.03","0.61","0.80"
"4949","67564-91-4","Fenpropimorph","2_Pest","TRUE","0.00","0.00","0.01","1.10","1.20"
"1032","95-53-4","o-toluidine","3_REACH","TRUE","0.00","0.00","0.01","1.10","1.20"
"1988","145783-14-8","4,6-dichloro-5-nitro-2-(propylthio)pyrimidine","3_REACH","TRUE","0.00","0.00","0.01","1.00","1.20"
"2582","2996-92-1","trimethoxyphenylsilane","3_REACH","TRUE","0.00","0.00","0.01","0.91","1.20"
"540","22224-92-6","Fenamiphos","2_Pest","TRUE","0.00","0.00","0.01","0.89","1.20"
"3304","60111-54-8","3,3-bis[(dimethylvinylsilyl)oxy]-1,1,5,5-tetramethyl-1,5-divinyltrisiloxane","3_REACH","TRUE","0.00","0.00","0.01","0.53","1.20"
"321","112-18-5","dodecyldimethylamine","3_REACH","TRUE","0.00","0.00","0.01","0.38","1.20"
"157","102851-06-9","Tau-fluvalinate","2_Pest","TRUE","0.00","0.00","0.01","0.25","1.20"
"5035","7786-34-7","Mevinphos","2_Pest","TRUE","0.00","0.00","0.01","0.20","1.20"
"104","886-50-0","Terbutryn","2_Pest","TRUE","0.00","0.00","0.01","0.81","1.04"
"630","41083-11-8","Azocyclotin","2_Pest","TRUE","0.00","0.00","0.01","0.25","0.71"
"1083","99105-77-8","Sulcotrione","2_Pest","TRUE","0.00","0.00","0.01","0.19","0.46"
"600","3209-22-1","1,2-dichloro-3-nitrobenzene","3_REACH","TRUE","0.00","0.00","0.00","1.10","1.20"
"548","2312-35-8","propargite","3_REACH","TRUE","0.00","0.00","0.00","1.10","1.20"
"723","576-26-1","2,6-xylenol","3_REACH","TRUE","0.00","0.00","0.00","1.10","1.20"
"363","120-83-2","2,4-dichlorophenol","3_REACH","TRUE","0.00","0.00","0.00","1.10","1.20"
"195","106-49-0","p-toluidine","3_REACH","TRUE","0.00","0.00","0.00","1.10","1.20"
"424","131983-72-7","Triticonazole","2_Pest","TRUE","0.00","0.00","0.00","1.09","1.20"
"81","67129-08-2","Metazachlor","2_Pest","TRUE","0.00","0.00","0.00","1.07","1.20"
"1033","95-54-5","o-phenylenediamine","3_REACH","TRUE","0.00","0.00","0.00","1.07","1.20"
"890","77-99-6","propylidynetrimethanol","3_REACH","TRUE","0.00","0.00","0.00","1.03","1.20"
"774","636-30-6","2,4,5-trichloroaniline","3_REACH","TRUE","0.00","0.00","0.00","0.97","1.20"
"972","86-50-0","Azinphos-methyl","2_Pest","TRUE","0.00","0.00","0.00","0.92","1.20"
"768","626-43-7","3,5-dichloroaniline","3_REACH","TRUE","0.00","0.00","0.00","0.86","1.20"
"336","114-07-8","erythromycin","1_Pharma","TRUE","0.00","0.00","0.00","0.81","1.20"
"281","110-65-6","but-2-yne-1,4-diol","3_REACH","TRUE","0.00","0.00","0.00","0.78","1.20"
"1027","95465-99-9","Cadusafos","2_Pest","TRUE","0.00","0.00","0.00","0.69","1.20"
"4333","24279-39-8","2,6-dichloro-4-trifluoromethylaniline","3_REACH","TRUE","0.00","0.00","0.00","0.69","1.20"
"66","58-08-2","caffeine","1_Pharma","TRUE","0.00","0.00","0.00","0.69","1.20"
"631","41198-08-7","O-(4-bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothioate | Profenofos","3_REACH","TRUE","0.00","0.00","0.00","0.63","1.20"
"4193","98-83-9","2-phenylpropene","3_REACH","TRUE","0.00","0.00","0.00","0.61","1.20"
"245","108-80-5","cyanuric acid","3_REACH","TRUE","0.00","0.00","0.00","0.60","1.20"
"3762","78-97-7","lactonitrile","3_REACH","TRUE","0.00","0.00","0.00","0.60","1.20"
"2581","29964-84-9","isodecyl methacrylate","3_REACH","TRUE","0.00","0.00","0.00","0.57","1.20"
"1675","118-60-5","2-ethylhexyl salicylate","3_REACH","TRUE","0.00","0.00","0.00","0.56","1.20"
"3527","68855-18-5","Heptanoic acid, ester with 2,2-dimethyl-1,3-propanediol","3_REACH","TRUE","0.00","0.00","0.00","0.44","1.20"
"1040","95-82-9","2,5-dichloroaniline","3_REACH","TRUE","0.00","0.00","0.00","0.39","1.20"
"583","2867-47-2","2-dimethylaminoethyl methacrylate","3_REACH","TRUE","0.00","0.00","0.00","0.35","1.20"
"239","108-44-1","m-toluidine","3_REACH","TRUE","0.00","0.00","0.00","0.34","1.20"
"594","300-76-5","Naled","2_Pest","TRUE","0.00","0.00","0.00","0.31","1.20"
"705","556-67-2","octamethylcyclotetrasiloxane","3_REACH","TRUE","0.00","0.00","0.00","0.29","1.20"
"416","13071-79-9","Terbufos","2_Pest","TRUE","0.00","0.00","0.00","0.29","1.20"
"2110","167004-78-6","605-460-1","3_REACH","TRUE","0.00","0.00","0.00","0.28","1.20"
"1484","108-45-2","m-phenylenediamine","3_REACH","TRUE","0.00","0.00","0.00","0.28","1.20"
"3721","7659-86-1","2-ethylhexyl mercaptoacetate","3_REACH","TRUE","0.00","0.00","0.00","0.25","1.20"
"531","21087-64-9","Metribuzin","2_Pest","TRUE","0.00","0.00","0.00","0.25","1.20"
"586","29232-93-7","Pirimiphos-Methyl","2_Pest","TRUE","0.00","0.00","0.00","0.25","1.20"
"551","23560-59-0","Heptenophos","2_Pest","TRUE","0.00","0.00","0.00","0.23","1.20"
"3382","628-96-6","ethylene dinitrate","3_REACH","TRUE","0.00","0.00","0.00","0.23","1.20"
"962","84-69-5","diisobutyl phthalate","3_REACH","TRUE","0.00","0.00","0.00","0.23","1.20"
"3365","622-58-2","p-tolyl isocyanate","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"4490","93957-50-7","3-[3-(4-fluorophenyl)-1-(1-methylethyl)-1H-indol-2-yl]-(E)-2-propenal","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"1700","119851-28-4","601-639-3","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"1520","110-42-9","methyl decanoate","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"587","294-62-2","cyclododecane","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"461","142459-58-3","Flufenacet","2_Pest","TRUE","0.00","0.00","0.00","0.25","1.20"
"4680","89604-91-1","3-[2-(1,3-benzothiazol-2-ylsulfanyl)-1-(methoxyimino)-2-oxoethyl]-1,2,4-thiadiazol-5-amine","3_REACH","TRUE","0.00","0.00","0.00","0.25","1.20"
"1056","97-00-7","1-chloro-2,4-dinitrobenzene","3_REACH","TRUE","0.00","0.00","0.00","0.23","1.20"
"3804","81-33-4","perylene-3,4:9,10-tetracarboxydiimide","3_REACH","TRUE","0.00","0.00","0.00","0.23","1.20"
"2563","2935-90-2","methyl 3-mercaptopropionate","3_REACH","TRUE","0.00","0.00","0.00","0.23","1.20"
"546","2310-17-0","Phosalone","2_Pest","TRUE","0.00","0.00","0.00","0.22","1.20"
"1039","95-80-7","4-methyl-m-phenylenediamine","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"1263","3913-02-8","2-butyloctan-1-ol","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"4403","27955-94-8","4,4',4''-(ethan-1,1,1-triyl)triphenol","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"2153","17796-82-6","N-(cyclohexylthio)phthalimide","3_REACH","TRUE","0.00","0.00","0.00","0.22","1.20"
"4","108-78-1","melamine","3_REACH","TRUE","0.00","0.00","0.00","0.20","1.20"
"21","129-00-0","pyrene","3_REACH","TRUE","0.00","0.00","0.00","0.20","1.20"
"596","30560-19-1","Acephate","2_Pest","TRUE","0.00","0.00","0.00","0.20","1.20"
"3948","88-12-0","1-vinyl-2-pyrrolidone","3_REACH","TRUE","0.00","0.00","0.00","0.20","1.20"
"1306","10042-59-8","2-propylheptan-1-ol","3_REACH","TRUE","0.00","0.00","0.00","0.20","1.20"
"437","13593-03-8","Quinalphos","2_Pest","TRUE","0.00","0.00","0.00","0.20","1.20"
"1037","95-74-9","3-chloro-p-toluidine","3_REACH","TRUE","0.00","0.00","0.00","0.19","1.20"
"1491","108-98-5","benzenethiol","3_REACH","TRUE","0.00","0.00","0.00","0.19","1.20"
"735","59277-89-3","Aciklovir","1_Pharma","TRUE","0.00","0.00","0.00","0.19","1.20"
"3409","6358-64-1","4-chloro-2,5-dimethoxyaniline","3_REACH","TRUE","0.00","0.00","0.00","0.19","1.20"
"514","1861-40-1","Benfluralin","2_Pest","TRUE","0.00","0.00","0.00","0.17","1.20"
"3163","5521-31-3","2,9-dimethylanthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-1,3,8,10(2H,9H)-tetrone","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"3360","6197-30-4","octocrilene","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"2096","165184-98-5","639-566-4","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"699","55-38-9","Fenthion","2_Pest","TRUE","0.00","0.00","0.00","0.17","1.20"
"1098","470-90-6","Chlorfenvinphos","2_Pest","TRUE","0.00","0.00","0.00","0.17","1.20"
"1844","130841-23-5","620-459-6","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"159","103-11-7","2-ethylhexyl acrylate","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"829","732-26-3","2,4,6-tri-tert-butylphenol","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"724","57-63-6","Etinylestradiol","1_Pharma","TRUE","0.00","0.00","0.00","0.17","1.20"
"729","584-84-9","4-methyl-m-phenylene diisocyanate","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"1315","101-14-4","4,4'-methylenebis[2-chloroaniline]","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"1569","1120-36-1","tetradec-1-ene","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"1339","10233-13-3","isopropyl laurate","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"3151","5466-77-3","2-ethylhexyl 4-methoxycinnamate","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"964","84852-15-3","Phenol, 4-nonyl-, branched","3_REACH","TRUE","0.00","0.00","0.00","0.17","1.20"
"170","104-76-7","2-ethylhexan-1-ol","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"1087","99-54-7","1,2-dichloro-4-nitrobenzene","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"2567","2943-75-1","triethoxyoctylsilane","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"3326","611-19-8","?,2-dichlorotoluene","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"3791","80-43-3","bis(?,?-dimethylbenzyl) peroxide","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"250","108-93-0","cyclohexanol","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"3840","830-13-7","cyclododecanone","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"648","4904-61-4","cyclododeca-1,5,9-triene","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"2507","27458-94-2","isononyl alcohol","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"911","79-06-1","acrylamide","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"2864","4073-98-7","4,4'-methylenebis(2,6-xylidine)","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"937","80-56-8","pin-2(3)-ene","3_REACH","TRUE","0.00","0.00","0.00","0.16","1.20"
"70","5915-41-3","Terbuthylazine","2_Pest","TRUE","0.00","0.00","0.00","1.09","1.19"
"441","137-26-8","thiram","2_Pest","TRUE","0.00","0.00","0.00","1.07","1.19"
"49","34123-59-6","Isoproturon","2_Pest","TRUE","0.00","0.00","0.00","1.03","1.19"
"6","111988-49-9","Thiacloprid","2_Pest","TRUE","0.00","0.00","0.00","0.66","1.19"
"432","13457-18-6","Pyrazophos","2_Pest","TRUE","0.00","0.00","0.00","0.17","1.19"
"1110","76-87-9","Fentin hydroxide","2_Pest","TRUE","0.00","0.00","0.00","0.94","1.17"
"679","52918-63-5","Deltamethrin","2_Pest","TRUE","0.00","0.00","0.00","0.16","1.17"
"604","3347-22-6","Dithianon","2_Pest","TRUE","0.00","0.00","0.00","0.39","1.13"
"581","28434-01-7","Bioresmethrin","2_Pest","TRUE","0.00","0.00","0.00","0.16","1.13"
"1109","87674-68-8","Dimethenamid","2_Pest","TRUE","0.00","0.00","0.00","0.88","1.11"
"496","1582-09-8","Trifluralin","2_Pest","TRUE","0.00","0.00","0.00","0.23","1.11"
"2429","25307-17-9","2,2'-(octadec-9-enylimino)bisethanol","3_REACH","TRUE","0.00","0.00","0.00","0.06","1.10"
"3284","59719-67-4","bis[2-[2-(1-methylethyl)-3-oxazolidinyl]ethyl] hexan-1,2-diylbiscarbamate","3_REACH","TRUE","0.00","0.00","0.00","0.06","1.10"
"2631","3173-72-6","1,5-naphthylene diisocyanate","3_REACH","TRUE","0.00","0.00","0.00","0.06","1.10"
"1717","120-61-6","dimethyl terephthalate","3_REACH","TRUE","0.00","0.00","0.00","0.06","1.10"
"4095","939-97-9","4-tert-butylbenzaldehyde","3_REACH","TRUE","0.00","0.00","0.00","0.06","1.10"
"3743","778-94-9","2-nitro-4-(trifluoromethyl)benzonitrile","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"351","119446-68-3","Difenoconazole","2_Pest","TRUE","0.00","0.00","0.00","0.04","1.10"
"243","108-68-9","3,5-xylenol","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"987","88-74-4","2-nitroaniline","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"1822","128-69-8","perylene-3,4:9,10-tetracarboxylic dianhydride","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"1551","111-64-8","octanoyl chloride","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"2440","25601-41-6","Methyl dec-9-enoate","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"61","53-16-7","estrone","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"451","140-66-9","4-(1,1,3,3-tetramethylbutyl)phenol","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"625","39515-51-0","m-phenoxybenzaldehyde","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"1558","111-81-9","methyl undec-10-enoate","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"564","24934-91-6","Chlormephos","2_Pest","TRUE","0.00","0.00","0.00","0.04","1.10"
"1023","944-22-9","Fonofos","2_Pest","TRUE","0.00","0.00","0.00","0.04","1.10"
"1369","103-50-4","dibenzyl ether","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.10"
"1743","122-20-3","1,1',1''-nitrilotripropan-2-ol","3_REACH","TRUE","0.00","0.00","0.00","0.03","1.10"
"558","2416-94-6","2,3,6-trimethylphenol","3_REACH","TRUE","0.00","0.00","0.00","0.03","1.10"
"557","24017-47-8","Triazophos","2_Pest","TRUE","0.00","0.00","0.00","0.03","1.10"
"1526","110-63-4","butane-1,4-diol","3_REACH","TRUE","0.00","0.00","0.00","0.03","1.10"
"996","89-83-8","thymol","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"3786","80-07-9","bis(4-chlorophenyl) sulphone","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"3379","62889-66-1","613-099-6","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"943","818-61-1","2-hydroxyethyl acrylate","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"517","19044-88-3","Oryzalin","2_Pest","TRUE","0.00","0.00","0.00","0.01","1.10"
"2367","2402-79-1","2,3,5,6-tetrachloropyridine","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"1095","99-99-0","4-nitrotoluene","3_REACH","TRUE","0.00","0.00","0.00","0.01","1.10"
"155","102-71-6","2,2',2''-nitrilotriethanol","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"965","85-41-6","phthalimide","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"571","2593-15-9","Etridiazole","2_Pest","TRUE","0.00","0.00","0.00","0.00","1.10"
"997","89-98-5","2-chlorobenzaldehyde","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"4157","96-96-8","2-nitro-p-anisidine","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"4221","99-88-7","4-isopropylaniline","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"405","125116-23-6","Metconazole","2_Pest","TRUE","0.00","0.00","0.00","0.00","1.10"
"595","301-12-2","Oxydemeton-methyl","2_Pest","TRUE","0.00","0.00","0.00","0.00","1.10"
"199","1067-33-0","dibutyltin di(acetate)","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"4321","131538-00-6","2,3-bis((2-mercaptoethyl)thio)-1-propanethiol","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"974","86-74-8","carbazole","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"2048","156-43-4","p-phenetidine","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"930","79983-71-4","Hexaconazole","2_Pest","TRUE","0.00","0.00","0.00","0.00","1.10"
"755","611-06-3","1,3-dichloro-4-nitrobenzene","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"1331","101-96-2","N,N'-di-sec-butyl-p-phenylenediamine","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"150","101-84-8","diphenyl ether","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"992","89-63-4","4-chloro-2-nitroaniline","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"323","112281-77-3","Tetraconazole","2_Pest","TRUE","0.00","0.00","0.00","0.00","1.10"
"119","100-00-5","1-chloro-4-nitrobenzene","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"993","89-72-5","2-sec-butylphenol","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.10"
"490","156052-68-5","Zoxamide","2_Pest","TRUE","0.00","0.00","0.00","0.01","1.09"
"985","88-72-2","2-nitrotoluene","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.09"
"99","81103-11-9","Klaritromycin","1_Pharma","TRUE","0.00","0.00","0.00","0.00","1.09"
"2046","15625-89-5","2-ethyl-2-[[(1-oxoallyl)oxy]methyl]-1,3-propanediyl diacrylate","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.09"
"1820","128-39-2","2,6-di-tert-butylphenol","3_REACH","TRUE","0.00","0.00","0.00","0.04","1.07"
"646","479-27-6","1,8-naphthylenediamine","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.07"
"300","111-42-2","2,2'-iminodiethanol","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.07"
"3684","7575-23-7","pentaerythritol tetrakis(3-mercaptopropionate)","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.04"
"4277","119462-56-5","1,3-bis(3-methyl-2,5-dioxo-1H-pyrrolinylmethyl)benzene","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.04"
"37","1912-24-9","atrazine","2_Pest","TRUE","0.00","0.00","0.00","0.82","1.04"
"1099","52315-07-8","Cypermethrin | Zeta-cypermethrin","2_Pest","TRUE","0.00","0.00","0.00","0.06","1.01"
"535","21725-46-2","Cyanazine","2_Pest","TRUE","0.00","0.00","0.00","0.03","1.00"
"818","712-50-5","cyclohexyl phenyl ketone","3_REACH","TRUE","0.00","0.00","0.00","0.00","1.00"
