id,name,ordering
"164","Pitcairn Island","0"
"165","Poland","0"
"166","Polynesia (French)","0"
"167","Portugal","0"
"168","Puerto Rico","0"
"169","Qatar","0"
"170","Reunion","0"
"171","Romania","0"
"172","Russia","0"
"173","Rwanda","0"
"174","Saint Helena","0"
"175","Saint Kitts and Nevis","0"
"176","Saint Lucia","0"
"177","Saint Pierre and Miquelon","0"
"178","Saint Vincent and Grenadines","0"
"179","Samoa","0"
"180","San Marino","0"
"181","Sao Tome and Principe","0"
"182","Saudi Arabia","0"
"183","Senegal","0"
"184","Serbia","0"
"185","Seychelles","0"
"186","Sierra Leone","0"
"187","Singapore","0"
"188","Slovakia","0"
"189","Slovenia","0"
"190","Solomon Islands","0"
"191","Somalia","0"
"192","South Africa","0"
"193","South Georgia and South Sandwich Islands","0"
"194","South Korea","0"
"195","South Sudan","0"
"196","Spain","0"
"197","Sri Lanka","0"
"198","Sudan","0"
"199","Suriname","0"
"200","Svalbard and Jan Mayen Islands","0"
"201","Swaziland","0"
"202","Sweden","0"
"203","Switzerland","0"
"204","Syria","0"
"205","Taiwan","0"
"206","Tajikistan","0"
"207","Tanzania","0"
"208","Thailand","0"
"209","Timor-Leste (East Timor)","0"
"210","Togo","0"
"211","Tokelau","0"
"212","Tonga","0"
"213","Trinidad and Tobago","0"
"214","Tunisia","0"
"215","Turkey","0"
"216","Turkmenistan","0"
"217","Turks and Caicos Islands","0"
"218","Tuvalu","0"
"219","Uganda","0"
"220","Ukraine","0"
"221","United Arab Emirates","0"
"222","United Kingdom","0"
"223","United States","0"
"224","Uruguay","0"
"225","Uzbekistan","0"
"226","Vanuatu","0"
"227","Venezuela","0"
"228","Vietnam","0"
"229","Virgin Islands","0"
"230","Wallis and Futuna Islands","0"
"231","Yemen","0"
"232","Zambia","0"
"233","Zimbabwe","0"
"234","NR","1"
