list_id,list_title,list_file,list_name,list_date,list_analysis_from,list_analysis_to,list_analysis_number,list_source_from,list_source_to,list_source_number,list_method_from,list_method_to,list_method_number,list_type,list_note,matrice_dct,list_deleted,list_common,list_protected,list_hash,list_organisation,list_email,list_author,list_data_accessibility,list_doi,list_description,list_project_id
206,WW JDS4 DANUBERIVER UoA 15052020 v1,DCT_WW_JDS4_DANUBERIVER_UoA_15052020_v1.xlsb,DCT_WW_JDS4_DANUBERIVER_UoA_15052020_v1,2020-06-29,12708960,12760065,51106,12708960,12708960,1,12708960,12709170,211,Waste water,updated 1.9.2020,3,1,,0,20e252d93d610eb894a1feb9a5ee146b,,,,,,,
209,WW JDS4 JRC 200320,DCT_WW_JDS4_JRC_200320.xlsb,DCT_WW_JDS4_JRC_200320,2020-06-29,12764068,12764826,755,12764068,12764068,1,12764068,12764132,65,Waste water,updated 1.9.2020,3,0,,0,eea7d8c67d5d61eabc6be587cd134acf,European Commission Joint Research Centre,giulio.mariani@ec.europa.eu,Giulio Mariani,,,,5
216,WW JDS4 DANUBERIVER UFZ 180620 v3,DCT_WW_JDS4_DANUBERIVER_UFZ_180620_v3.xlsb,DCT_WW_JDS4_DANUBERIVER_UFZ_180620_v3,2020-07-05,12832980,12844397,11418,12832980,12832980,1,12832980,12833033,54,Waste water,,3,0,,0,f87ea8445d0482d2e9632cb6ad9e6492,"Helmholtz Centre for Environmental Research (UFZ), DE",tobias.schulze@ufz.de,Tobias Schulze,,,,5
179,SPM JDS3 LFU 26112018,JDS3_Final.xlsx,DCT_SPM_JDS3_LFU_26112018,2018-11-26,12061597,12104240,1294,12061597,12061613,0,12061597,12061863,0,Suspended matter,,5,0,176,0,090ed61b7452399d64d8bd274d6d38b7,Bavarian Environment Agency,juergen.diemer@lfu.bayern.de,"",,,,4
448,DCT2 SPM UBA DE PARC PFAS BB 14032025 WGS84,DCT2_SPM_UBA_DE_PARC_PFAS_BB_14032025_WGS84.xlsx,DCT2_SPM_UBA_DE_PARC_PFAS_BB_14032025_WGS84,2025-03-28,159102343,159102579,237,159102343,159102343,1,159102343,159102365,23,Suspended matter,,5,0,,parc_pfas,96e51734d9df5dbadf9506f9200e3fcc,,,,,,,
449,DCT2 SPM UBA DE PARC PFAS BE 14032025 WGS84,DCT2_SPM_UBA_DE_PARC_PFAS_BE_14032025_WGS84.xlsx,DCT2_SPM_UBA_DE_PARC_PFAS_BE_14032025_WGS84,2025-03-30,159102580,159102607,28,159102580,159102580,1,159102580,159102592,13,Suspended matter,,5,0,,parc_pfas,4976563d588ef68f59aaf2d81eaeed2d,,,,,,,
450,DCT2 SPM UBA DE PARC PFAS BW 14032025 WGS84,DCT2_SPM_UBA_DE_PARC_PFAS_BW_14032025_WGS84.xlsx,DCT2_SPM_UBA_DE_PARC_PFAS_BW_14032025_WGS84,2025-03-30,159102608,159102917,310,159102608,159102608,1,159102608,159102608,1,Suspended matter,,5,0,,parc_pfas,8626e410a71ee12c77f30346ecc5ff10,,,,,,,
465,DCT2 SPM UBA DE PARC PFAS NRW 16042025,DCT2_SPM_UBA_DE_PARC_PFAS_NRW_16042025.xlsx,DCT2_SPM_UBA_DE_PARC_PFAS_NRW_16042025,2025-04-20,159677224,159684001,6778,159677224,159677224,1,159677224,159677226,3,Suspended matter,,5,0,,parc_pfas,5e6c277001c8e0467e487a88bbfac29c,,,,,,,
201,SW Siverskyi Donets Monitoring 2018 UoA 20012020,Siverskyi Donets Monitoring_Target screening_water_sediment_biota.xlsx,DCT_SW_Siverskyi Donets Monitoring 2018_UoA_20012020,2020-01-20,12420384,12434956,14573,12420384,12420384,1,12420384,12420444,61,"Surface water, Ground water","surface: 12420384:12426720<br>
ground: 12426721:12434956",,0,,0,7d5c20435b371d21a0e43e17ae6143b0,,,"",,,,16
256,SW JDS4 DANUBERIVER LfU 21112019,DCT_SW_JDS4_DANUBERIVER_LfU_21112019.xlsb,DCT_SW_JDS4_DANUBERIVER_LfU_21112019,2020-09-05,13145989,13146039,51,13145989,13145989,1,13145989,13145989,1,Surface water,,1,0,,0,4f86c4367b0b4e9a29f6d87b10510827,Bavarian Environment Agency,manfred.sengl@lfu.bayern.de,Manfred Sengl,,,,5
263,SEAWATER EMBLAS UoA 2017 v2,DCT_SEAWATER_EMBLAS_UoA_2017_v2.xlsb,DCT_SEAWATER_EMBLAS_UoA_2017_v2,2020-10-15,13249027,13290426,41400,13249027,13249027,1,13249027,13249148,122,Surface water,,1,0,,0,b5ca0bd380e44ecb9008498098c86698,National and Kapodistrian University of Athens,ntho@chem.uoa.gr,Nikolaos Thomaidis,,,,6
265,SW EMBLAS UoA 2016 v1,DCT_SW_EMBLAS_UoA_2016 v1.xlsb,DCT_SW_EMBLAS_UoA_2016 v1,2020-10-16,12896097,12967046,70950,12896097,12896097,1,12896097,12896265,169,Surface water,,1,0,,0,9e06e2e5dd69e0fd8282d42060b0166d,National and Kapodistrian University of Athens,ntho@chem.uoa.gr,Nikolaos Thomaidis,,,,6
270,SW EMBLAS AQ BIOS 2017,DCT_SW_EMBLAS__AQ_BIOS_2017.xlsb,DCT_SW_EMBLAS__AQ_BIOS_2017,2020-10-18,13356851,13356860,10,13356851,13356851,1,13356851,13356852,2,Surface water,,1,0,,0,8c74c1a79aea1725856d986df8670b0e,AQ-BIOS,vladimir.kovac@aqbios.com,Vladimír Kováč,,,,6
271,SW EMBLAS Plus AQBIOS 110520 v3,DCT_SW_EMBLAS_Plus_AQBIOS_110520_v3.xlsb,DCT_SW_EMBLAS_Plus_AQBIOS_110520_v3,2020-10-18,13356861,13356944,84,13356861,13356861,1,13356861,13356862,2,Surface water,,1,0,,0,dbb61d7d431bab9f3e3dbe907072faec,AQ-BIOS,vladimir.kovac@aqbios.com,Vladimír Kováč,,,,8
273,SW EMBLAS JRC 09212016 v2,DCT_SW_EMBLAS_JRC_09212016_v2.xlsb,DCT_SW_EMBLAS_JRC_09212016_v2,2020-10-27,13139595,13142879,3285,13139595,13139595,1,13139595,13139645,51,Surface water,Sea water,1,0,,0,17befb04150378e51dfc63d5bc7028d0,European Commission Joint Research Centre,georg.hanke@ec.europa.eu,Georg Hanke,,,,6
274,SW EMBLAS Plus UoA 18062020,DCT_SW_EMBLAS_Plus_UoA_18062020.xlsb,DCT_SW_EMBLAS_Plus_UoA_18062020,2020-10-28,13083393,13130982,47590,13083393,13083393,1,13083393,13083462,70,Surface water,Sea water,1,0,,0,2fb2982333ccd0b197004e1cf6c37c84,National and Kapodistrian University of Athens,ntho@chem.uoa.gr,Nikolaos Thomaidis,,,,8
275,SW EMBLAS Plus JRC 071420 v2,DCT_SW_EMBLAS_Plus_JRC_071420_v2.xlsb,DCT_SW_EMBLAS_Plus_JRC_071420_v2,2020-10-28,13356945,13359241,2297,13356945,13356945,1,13356945,13357016,72,Surface water,Sea water,1,0,,0,57f4621771d89c2a31c4ab380a0491af,European Commission Joint Research Centre,georg.hanke@ec.europa.eu,Georg Hanke,,,,8
293,SW EPA IRELAND 2019,DCT_SW_EPA_IRELAND_2019.xlsb,DCT_SW_EPA_IRELAND_2019,2021-07-11,13658028,13662232,4205,13658028,13658028,1,13658028,13658028,1,Surface water,,1,0,,0,cd1411566f51e5247a6779da33706bd2,Environmental Protection Agency,r.mcginn@epa.ie,"",,,,
295,SW NAWA 2012 Switzerland 15072021,DCT_SW_NAWA 2012_Switzerland_15072021.xlsb,DCT_SW_NAWA 2012_Switzerland_15072021,2021-07-26,13684533,13685022,490,13684533,13684533,1,13684533,13684558,26,Surface water,,1,0,,0,b182f5a09abddb30f61b84e947f095e8,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH","","",,,,
296,SW NAWA 2015 Switzerland 15072021,DCT_SW_NAWA 2015_Switzerland_15072021.xlsx,DCT_SW_NAWA 2015_Switzerland_15072021,2021-07-29,13685023,13748175,63153,13685023,13685023,1,13685023,13685196,174,Surface water,,1,0,,0,2a556858e789e11d9543968ff3e51566,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH","","",,,,
297,SW NAWA 2017 Switzerland 15072021,DCT_SW_NAWA 2017_Switzerland_15072021.xlsx,DCT_SW_NAWA 2017_Switzerland_15072021,2021-07-29,13748176,13816096,67921,13748176,13748176,1,13748176,13748245,70,Surface water,,1,0,,0,55d3396db0675cf13ffcab5f15c0e041,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH","","",,,,
298,SW PYRETHROIDS 2017 Switzerland 15072021,DCT_SW_PYRETHROIDS 2017_Switzerland_15072021.xlsx,DCT_SW_PYRETHROIDS 2017_Switzerland_15072021,2021-07-29,13816097,13816908,812,13816097,13816097,1,13816097,13816099,3,Surface water,,1,0,,0,35fd050abb0f6c8aec6794da7424cc34,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH","","",,,,
299,SW PYRETHROIDS 2018 Switzerland 15072021,DCT_SW_PYRETHROIDS 2018_Switzerland_15072021.xlsx,DCT_SW_PYRETHROIDS 2018_Switzerland_15072021,2021-07-29,13816909,13818398,1490,13816909,13816909,1,13816909,13816918,10,Surface water,,1,0,,0,3660d271be8d871f838b3bb1e29ea47f,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH","","",,,,
301,SW Rijkswaterstaat Netherlands 181021,DCT_SW_Rijkswaterstaat_181021.csv,DCT_SW_Rijkswaterstaat_Netherlands_181021,2021-10-19,13898129,15228940,1330812,13898129,13898129,1,13898129,13898275,147,Surface water,,1,0,,0,2c964983c5ab6f52f91865ddfa7c404c,Rijkswaterstaat,"","",,,,
302,SW Elbe 2017-2020 1a1C 22102021,1a_1C_Elbe_2017-2020_OA-OD.xlsb,DCT_SW_Elbe_2017-2020_1a1C_22102021,2021-10-22,15228941,15254706,25766,15228941,15228941,1,15228941,15228950,10,Surface water,,1,0,,0,7ee17116d0deb3d97c0430224c5faeac,,,"",,,,
305,SW Elbe 2017-2020 1b1 22102021,1b_1_Elbe_2017-2020_ON-OT.xlsb,DCT_SW_Elbe_2017-2020_1b1_22102021,2021-10-22,15268256,15296683,28428,15268256,15268256,1,15268256,15268279,24,Surface water ,,1,0,,0,36563a4b4650594c4ad21c6db8c30230,,,"",,,,
308,SW Elbe 2017-2020 1b2 24102021,1b_2_Elbe_2017-2020_OU-P.xlsb,DCT_SW_Elbe_2017-2020_1b2_24102021,2021-10-24,15299269,15350610,51342,15299269,15299269,1,15299269,15299288,20,Surface water,,1,0,,0,dc5f92425adf748ab995d7cf756e52b4,,,"",,,,
311,SW Elbe 2017-2020 1a1D 24102021,1a_1D_Elbe_2017-2020_OE-OM.xlsb,DCT_SW_Elbe_2017-2020_1a1D_24102021,2021-10-24,15351474,15365529,14056,15351474,15351474,1,15351474,15351496,23,Surface water,,1,0,,0,e84aa7d22c13e0331a154c7a139cd0ca,,,"",,,,
314,SW Aanlevering NL 2009 291021,DCT_SW_Aanlevering_NL_2009_291021.xlsb,DCT_SW_Aanlevering_NL_2009_291021,2021-10-29,15367680,15785383,417650,15367680,15367700,21,15367680,15367792,113,Surface water,,1,0,,0,dcec5f2909ee1a315ec3a1b969024775,Waterschap Aa en Maas (waterboard),"","",,,,
315,SW Aanlevering NL 2010 291021,DCT_SW_Aanlevering_NL_2010_291021.xlsb,DCT_SW_Aanlevering_NL_2010_291021,2021-11-01,15785384,16227928,442490,15785384,15785404,21,15785384,15785503,120,Surface water,,1,0,,0,179afb10b1c061c4bf1db9c796eb4414,Waterschap Aa en Maas (waterboard),"","",,,,
316,SW Aanlevering NL 2011 291021,DCT_SW_Aanlevering_NL_2011_291021.xlsb,DCT_SW_Aanlevering_NL_2011_291021,2021-11-01,16227929,16744101,516104,16227929,16227949,20,16227929,16228050,121,Surface water,,1,0,,0,26d344547c824c12a5c9ce3d8281ff1a,Waterschap Aa en Maas (waterboard),"","",,,,
317,SW Aanlevering NL 2012 291021,DCT_SW_Aanlevering_NL_2012_291021.xlsb,DCT_SW_Aanlevering_NL_2012_291021,2021-11-01,16744102,17295218,550971,16744102,16744122,21,16744102,16744281,180,Surface water,,1,0,,0,e9446922bfc5801426aa09d5ec18d57a,Waterschap Aa en Maas (waterboard),"","",,,,
318,SW Aanlevering NL 2013 291021,DCT_SW_Aanlevering_NL_2013_291021.xlsb,DCT_SW_Aanlevering_NL_2013_291021,2021-11-01,17295219,17771526,476164,17295219,17295239,21,17295219,17295517,299,Surface water,,1,0,,0,a8cfca4f6f513bf18ab7c0b2e7ca5b2f,Waterschap Aa en Maas (waterboard),"","",,,,
319,SW Aanlevering NL 2014 291021,DCT_SW_Aanlevering_NL_2014_291021.xlsb,DCT_SW_Aanlevering_NL_2014_291021,2021-11-01,17771527,18203422,431751,17771527,17771547,21,17771527,17771667,141,Surface water,,1,0,,0,ce4f9fe120c84c79494e8301d298b0f7,Waterschap Aa en Maas (waterboard),"","",,,,
320,SW Aanlevering NL 2015 291021,DCT_SW_Aanlevering_NL_2015_291021.xlsb,DCT_SW_Aanlevering_NL_2015_291021,2021-11-01,18203423,18702570,499148,18203423,18203443,21,18203423,18203515,93,Surface water,,1,0,,0,88f119f283a8724409f098327af8a6d7,Waterschap Aa en Maas (waterboard),"","",,,,
321,SW Aanlevering NL 2016 291021,DCT_SW_Aanlevering_NL_2016_291021.xlsb,DCT_SW_Aanlevering_NL_2016_291021,2021-11-03,18702571,19297625,595055,18702571,18702591,21,18702571,18702687,117,Surface water,,1,0,,0,7bd4df68c14cab109f80e69cb2706af7,Waterschap Aa en Maas (waterboard),"","",,,,
322,SW Aanlevering NL 2017 291021,DCT_SW_Aanlevering_NL_2017_291021.xlsb,DCT_SW_Aanlevering_NL_2017_291021,2021-11-03,19297626,20023214,725400,19297626,19297646,21,19297626,19297863,283,Surface water,,1,0,,0,52f936cee69be0b65f19abb4b1e2a738,Waterschap Aa en Maas (waterboard),"","",,,,
323,SW Aanlevering NL 2018 291021,DCT_SW_Aanlevering_NL_2018_291021.xlsb,DCT_SW_Aanlevering_NL_2018_291021,2021-11-03,20023215,20829338,805938,20023215,20023235,21,20023215,20023779,565,Surface water,,1,0,,0,3a5a9f17fba7197a0d3d114916218b5b,Waterschap Aa en Maas (waterboard),"","",,,,
324,SW Aanlevering NL 2019 291021,DCT_SW_Aanlevering_NL_2019_291021.xlsb,DCT_SW_Aanlevering_NL_2019_291021,2021-11-03,20829339,21574603,744671,20829339,20829359,21,20829339,20829541,203,Surface water,,1,0,,0,fcf812423ddaf6e42aa2dc2c2f047200,Wetterskip Fryslân (waterboard),"","",,,,
325,SW Aanlevering Norman Riwa 041121,DCT_SW_Aanlevering_Norman_Riwa_041121.xlsb,DCT_SW_Aanlevering_Norman_Riwa_041121,2021-11-06,21574604,22183858,607360,21574604,21574605,2,21574604,21574780,177,Surface water,,1,0,,nl,12e6b53aabf59ca3ae334f7ee2d6f0ee,"Association of Rhine Water Works (RIWA), NL","","",,,,
328,SW Swedish streams SLU 20112021,DCT_SW_Swedish streams_SLU_20112021.xlsx,DCT_SW_Swedish streams_SLU_20112021,2021-11-20,22217613,22239540,21928,22217613,22217613,1,22217613,22217841,229,Surface water,,1,0,,0,44331b2c23b2c627b29c71d3a6a4ed58,"Swedish University of Agricultural Sciences (SLU), SE","","",,,,
329,SW Spree 1999,Spree_1999_2016.mdb,SW_Spree_1999,2021-11-21,22239541,22247017,5642,22239541,22239541,1,22239541,22239574,34,Surface water,,1,0,,0,9458ab8bfc8e4d0e5d1bcbeca31c6ee2,,,"",,,,
330,SW Spree 2000,Spree_1999_2016.mdb,SW_Spree_2000,2021-11-21,22247018,22254262,6006,22247018,22247018,1,22247018,22247051,34,Surface water,,1,0,,0,d7efa179e7065d866406f097b3f878e7,,,"",,,,
335,SW Aanlevering Netherlands 2009,NL_aanlevering_norman_basis_ihw_2009.xlsx,DCT_SW_Aanlevering_Netherlands_2009,2021-12-10,22254439,22574049,319611,22254439,22254459,21,22254439,22254521,83,Surface water,,1,0,,0,f59c994cd068ccf5bdfed4dce8f87250,Wetterskip Fryslân (waterboard),"","",,,,
336,SW Aanlevering Netherlands 2010,NL_aanlevering_norman_basis_ihw_2010.xlsx,DCT_SW_Aanlevering_Netherlands_2010,2021-12-10,22574050,22880036,305987,22574050,22574069,20,22574050,22574141,92,Surface water,,1,0,,0,b07ef0635e9de679a57cce67ffdddc07,Wetterskip Fryslân (waterboard),"","",,,,
337,SW Aanlevering Netherlands 2011,NL_aanlevering_norman_basis_ihw_2011.xlsx,DCT_SW_Aanlevering_Netherlands_2011,2021-12-10,22880037,23281844,401808,22880037,22880056,20,22880037,22880137,101,Surface water,,1,0,,0,f56be5a86447826a8757952928fa8d34,Wetterskip Fryslân (waterboard),"","",,,,
338,SW Aanlevering Netherlands 2012,NL_aanlevering_norman_basis_ihw_2012.xlsx,DCT_SW_Aanlevering_Netherlands_2012,2021-12-11,23281845,23782911,501067,23281845,23281865,21,23281845,23281969,125,Surface water,,1,0,,0,0dc77d9a0cd366e2ceb7f7e4a4420ba0,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
339,SW Aanlevering Netherlands 2013,NL_aanlevering_norman_basis_ihw_2013.xlsx,DCT_SW_Aanlevering_Netherlands_2013,2021-12-11,23782912,24213615,430704,23782912,23782932,21,23782912,23782981,70,Surface water,,1,0,,0,5130763b3ebcfdbd6070e560ca468f9a,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
340,SW Aanlevering Netherlands 2014,NL_aanlevering_norman_basis_ihw_2014.xlsx,DCT_SW_Aanlevering_Netherlands_2014,2021-12-11,24213616,24615698,402083,24213616,24213636,21,24213616,24213746,131,Surface water,,1,0,,0,187676b2b904c88c626888ca1d594789,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
341,SW Aanlevering Netherlands 2015,NL_aanlevering_norman_basis_ihw_2015.xlsx,DCT_SW_Aanlevering_Netherlands_2015,2021-12-11,24615699,25089985,474287,24615699,24615719,21,24615699,24615778,80,Surface water,,1,0,,0,9dcd4f795c2cc742501dc216a270ab50,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
342,SW Aanlevering Netherlands 2016,NL_aanlevering_norman_basis_ihw_2016.xlsx,DCT_SW_Aanlevering_Netherlands_2016,2021-12-11,25089986,25505284,415299,25089986,25090000,15,25089986,25090051,66,Surface water,,1,0,,0,0014fd6172bf18366e72cf0c4b65de13,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
343,SW Aanlevering Netherlands 2019,NL_aanlevering_norman_basis_ihw_2017.xlsx,DCT_SW_Aanlevering_Netherlands_2019,2021-12-11,25505285,26174485,669201,25505285,25505470,186,25505285,25505304,20,Surface water,,1,0,,0,ce4438964202878b04d30a0cda366fdc,Hoogheemraadschap Schieland en de Krimpernerwaard (waterboard),"","",,,,
344,SW Aanlevering Netherlands 2018,NL_aanlevering_norman_basis_ihw_2018.xlsx,DCT_SW_Aanlevering_Netherlands_2018,2021-12-11,26174486,26916965,742480,26174486,26174506,21,26174486,26174925,440,Surface water,,1,0,,0,4be8e188871f250f26420a30ad68f9f4,Wetterskip Fryslân (waterboard),"","",,,,
345,SW Aanlevering Netherlands 2019,NL_aanlevering_norman_basis_ihw_2019.xlsx,DCT_SW_Aanlevering_Netherlands_2019,2021-12-11,26916966,27661636,744671,26916966,26916986,21,26916966,26917167,202,Surface water,,1,0,,0,e68a1512b7d47baa7350c7176436b514,Wetterskip Fryslân (waterboard),"","",,,,
357,SW PACESII Helmholtz-Zentrum 08032022 v2,DCT_SW_PACESII_Helmholtz-Zentrum_08032022_v2.xlsx,DCT_SW_PACESII_Helmholtz-Zentrum_08032022_v2,2022-03-10,27815712,27816958,1247,27815712,27815712,1,27815712,27815740,29,Surface water,,1,0,,0,ed5a8f5fcd8f9bfc6b6cda2702ba5ae8,Helmholtz-Zentrum Hereon,hanna.joerss@hereon.de,"",,,,
358,SW GW RWBL21 EAWAG 01122013 v3-surface-water,DCT_SW_GW_RWBL21_EAWAG_01122013_v3.xlsb,DCT_SW_GW_RWBL21_EAWAG_01122013_v3-surface-water,2022-03-24,27816959,27818403,1445,27816959,27816959,1,27816959,27817115,157,Surface water,,1,0,,0,af736d3a89c0d8ba4210468c49413853,"Swiss Federal Institute of Aquatic Science and Technology (EAWAG), CH",juliane.hollender@eawag.ch,Prof. Dr. Juliane Hollender,,10.60954/empodat.ttek-7m30,,
360,NAIADE SW 2016,NAIADE_SW_2016,NAIADE_SW_2016,2023-02-27,27822734,41265828,13106703,27822734,27822734,0,27822734,27824423,1605,Surface water,"",1,0,,0,db69cbb2dcf7c2b82aa83144290d863b,,,"",,,,
361,NAIADE SW 2017,NAIADE_SW_2017,NAIADE_SW_2017,2023-02-28,41265829,55776908,14182649,41265829,41265829,0,41265829,41267343,1515,Surface water,"",1,0,,0,a19b6689d883a0581afb90ac7aff14fa,,,,,,,
362,NAIADE SW 2018,NAIADE_SW_2018,NAIADE_SW_2018,2023-02-28,55776909,71718986,15734968,55776909,55776909,0,55776909,55778808,1606,Surface water,,1,0,,0,c26709b889ecc9488b6c9b731fa02e49,,,,,,,
