id,sus_id,country_id,country_other,station_name,short_sample_code,sample_code,provider_code,national_code,code_ec_wise,code_ec_other,code_other,specific_locations,longitude_decimal,latitude_decimal,dpc_id,altitude,dpr_id,dpr_other,ds_passive_sampling_stretch,ds_stretch_start_and_end,ds_longitude_start_point_decimal,ds_latitude_start_point_decimal,ds_longitude_end_point_decimal,ds_latitude_end_point_decimal,ds_dpc_id,ds_altitude,ds_dpr_id,ds_dpr_other,matrix_id,matrix_other,type_sampling_id,type_sampling_other,passive_sampler_id,passive_sampler_other,sampler_type_id,sampler_type_other,sampler_mass,sampler_surface_area,date_sampling_start_day,date_sampling_start_month,date_sampling_start_year,exposure_time_days,exposure_time_hours,date_of_analysis,time_of_analysis,name,basin_name_id,basin_name_other,dts_id,dts_other,dtm_id,dtm_other,dic_id,concentration_value,unit,title_of_project,ph,temperature,spm_conc,salinity,doc,hardness,o2_1,o2_2,bod5,h2s,p_po4,n_no2,tss,p_total,n_no3,n_total,remark_1,remark_2,am_id,org_id,orig_compound,orig_cas_no,p_determinand_id,p_a_exposure_time,p_a_cruise_dates,p_a_river_km,p_a_sampler_sheets_disks_nr,p_a_sample_code
11,67,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",6.9.-26.9.,926-71,10,""
17,252,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",17.8.-21.8.,2225-1852,10,""
18,252,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,3,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",22.8.-26.8.,1852-1632,10,""
19,252,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",28.8.-31.8.,1648-1297,10,""
20,252,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",1.9.-4.9.,1297-1159,10,""
21,252,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0015,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",6.9.-10.9.,1159-930,10,""
22,252,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,3,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",12.9.-16.9.,930-464,10,""
23,252,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0029,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",18.9.-21.9.,464-170,10,""
24,252,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.0014,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",22.9.-26.9.,170-71,10,""
25,252,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",13.8.-26.8.,2225-1632,10,""
26,252,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",28.8.-4.9.,1623-926,10,""
27,252,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,2,1,0,"",2,"",6.9.-26.9.,926-71,10,""
33,262,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.4547,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",17.8.-21.8.,2225-1852,10,""
34,262,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.1444,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",22.8.-26.8.,1852-1632,10,""
35,262,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.3561,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",28.8.-31.8.,1648-1297,10,""
36,262,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.1659,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",1.9.-4.9.,1297-1159,10,""
37,262,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.2453,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",6.9.-10.9.,1159-930,10,""
38,262,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,1,0.2259,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",12.9.-16.9.,930-464,10,""
39,262,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.5301,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",18.9.-21.9.,464-170,10,""
40,262,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.2226,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",22.9.-26.9.,170-71,10,""
41,262,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",13.8.-26.8.,2225-1632,10,""
42,262,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",28.8.-4.9.,1623-926,10,""
43,262,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,3,1,0,"",3,"",6.9.-26.9.,926-71,10,""
49,10876,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",17.8.-21.8.,2225-1852,10,""
50,10876,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",22.8.-26.8.,1852-1632,10,""
51,10876,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",28.8.-31.8.,1648-1297,10,""
52,10876,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",1.9.-4.9.,1297-1159,10,""
53,10876,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",6.9.-10.9.,1159-930,10,""
54,10876,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",12.9.-16.9.,930-464,10,""
55,10876,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",18.9.-21.9.,464-170,10,""
56,10876,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",22.9.-26.9.,170-71,10,""
57,10876,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",13.8.-26.8.,2225-1632,10,""
58,10876,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",28.8.-4.9.,1623-926,10,""
59,10876,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,4,1,0,"",4,"",6.9.-26.9.,926-71,10,""
65,484,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",17.8.-21.8.,2225-1852,10,""
66,484,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",22.8.-26.8.,1852-1632,10,""
67,484,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",28.8.-31.8.,1648-1297,10,""
68,484,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",1.9.-4.9.,1297-1159,10,""
69,484,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",6.9.-10.9.,1159-930,10,""
70,484,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",12.9.-16.9.,930-464,10,""
71,484,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",18.9.-21.9.,464-170,10,""
72,484,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",22.9.-26.9.,170-71,10,""
73,484,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",13.8.-26.8.,2225-1632,10,""
74,484,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",28.8.-4.9.,1623-926,10,""
75,484,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,5,1,0,"",5,"",6.9.-26.9.,926-71,10,""
81,10265,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.0012,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",17.8.-21.8.,2225-1852,10,""
82,10265,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0003,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",22.8.-26.8.,1852-1632,10,""
83,10265,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0012,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",28.8.-31.8.,1648-1297,10,""
84,10265,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0008,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",1.9.-4.9.,1297-1159,10,""
85,10265,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0012,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",6.9.-10.9.,1159-930,10,""
86,10265,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,1,0.001,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",12.9.-16.9.,930-464,10,""
87,10265,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0023,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",18.9.-21.9.,464-170,10,""
88,10265,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.001,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",22.9.-26.9.,170-71,10,""
89,10265,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",13.8.-26.8.,2225-1632,10,""
90,10265,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",28.8.-4.9.,1623-926,10,""
91,10265,XX,,,,,,,,,,,,,,,0,,7 to 9,stretch 7-9 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.117,173,6,9,2013,0,"",2014-04-17,00:00:00,,0,,,,,,1,0.0009,µg/sampler,,,,,,,,,,,,,,,,,,"",,6,1,0,"",6,"",6.9.-26.9.,926-71,10,""
97,445,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.0179,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",17.8.-21.8.,2225-1852,10,""
98,445,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0035,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",22.8.-26.8.,1852-1632,10,""
99,445,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0178,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",28.8.-31.8.,1648-1297,10,""
100,445,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0091,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",1.9.-4.9.,1297-1159,10,""
101,445,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.0211,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",6.9.-10.9.,1159-930,10,""
102,445,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,1,0.0156,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",12.9.-16.9.,930-464,10,""
103,445,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0429,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",18.9.-21.9.,464-170,10,""
104,445,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.0159,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",22.9.-26.9.,170-71,10,""
105,445,XX,,,,,,,,,,,,,,,0,,1  to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,3,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",13.8.-26.8.,2225-1632,10,""
106,445,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,8,1,0,"",8,"",28.8.-4.9.,1623-926,10,""
