# Ecotox Column Mapping

| Category | Table Header | Database Column Name |
| **Test conditions** | Feeding protocols | feeding_protocols |
| **Test conditions** | Type and amount of food | type_amount_food |
| **Statistical design** | Number of organisms per replicate | number_organisms |
| **Statistical design** | Number of replicates per concentration | number_replicates |
| **Statistical design** | Statistical method used | statistical_method |
| **Statistical design** | Trend | trend |
| **Statistical design** | Significance of result | significance_result |
| **Statistical design** | Significance level | significance_level |
| **Biological effect** | Effect concentration qualifier | concentration_qualifier |
| **Biological effect** | Effect concentration | concentration_value |
| **Biological effect** | Effect concentration unit | unit_concentration |
| **Biological effect** | Estimate of variability for LC and EC data | estimate_variability |
| **Biological effect** | Test item | test_item |
| **Biological effect** | Result comment | result_comment |
| **Evaluation** | Dose-response reported in figure/text/table | dose_response |
| **Evaluation** | Availability of raw data | availability_raw_data |
| **Evaluation** | Study available | study_available |
| **Evaluation** | General Comment | general_comment |
| **Evaluation** | Existing reliability score | reliability_study |
| **Evaluation** | Reliability score system used | reliability_score |
| **Evaluation** | Authority issuing the reliability score | *not mapped* |
| **Evaluation** | Existing rational reliability | existing_rational_reliability |
| **Evaluation** | Regulatory context | regulatory_purpose |
| **Evaluation** | Used for regulatory purpose | used_for_regulaltory_purpose |

## Additional Database Columns Not in Category Structure

| Database Column | Notes |
|----------------|--------|
| id | Primary key |
| sus_id | Legacy substance ID |
| substance_id | Current substance foreign key |
| testing_laboratory | Testing laboratory information |
| body_length | Body length measurement |
| body_weight | Body weight measurement |
| deviations_from_standard | Deviations from standard protocol |
| institution_study | Institution conducting study |
| editor | Editor user ID |
| color_tx | Color transaction field |
| cred | CRED evaluation score |
| created_at | Record creation timestamp |
| updated_at | Record update timestamp |

## Notes

- Some table headers don't have direct database column matches (marked as "*not mapped*")
- Unit fields are often combined with their measurement fields in the database
- The database contains some additional fields not present in the category structure
- Some fields may store combined information (e.g., duration might include unit information)
