analysis_id,sample_matrix_id,sample_matrix_other,gene_name,gene_description,gene_family,associated_phenotype,monogenic_phenotype,forward_primer,reverse_primer,dye_probe_based,probe_sequence,plasmid_genome_standards,multi_drug_resistance_phenotype,genetic_marker,genetic_marker_specify,common_bacterial_host,concentration_data_id,concentration_id,concentration_abundance_per_ml,concentration_abundance_per_ng,concentration_abundance,prevalence,sampling_date_day,sampling_date_month,sampling_date_year,sampling_date_hour,sampling_date_minute,method_id,source_id,coordinate_id,remark
28,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,12857.099609375,,,0.0003550999390427023,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
29,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,56174.3984375,,,0.00034047767985612154,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
30,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,91668.796875,,,0.0006950392271392047,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
31,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,70736.3984375,,,0.0009345730068162084,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
32,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,4001500,,,0.0006415999960154295,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
33,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1250616,,,0.03647288680076599,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
34,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1590288,,,0.014107806608080864,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
35,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,871086.875,,,0.0205744169652462,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
36,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,10348.7998046875,,,0.00014018766523804516,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
37,8,Two Months after Irri. Break,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,18725.400390625,,,0.00012925524788443,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
38,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,29999,,,0.000037014924600953236,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
39,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,46624,,,0.00001577319562784396,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
40,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,57834,,,0.000019927536413888447,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
41,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,36025,,,0.000019132075976813212,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
42,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,47658,,,0.000014432989701163024,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
43,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,52920,,,0.0001222551945829764,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
44,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,48616,,,0.0001462101936340332,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
45,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,579613.75,,,0.00015995727153494954,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
46,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,467875,,,0.000020084986317669973,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
47,8,Prior irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,41831,,,0.00010569405276328325,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
48,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,29450.666015625,,,0.000027370597308618017,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
49,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,51600.66796875,,,0.00010125918925041333,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
50,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,30311.666015625,,,0.00006189455598359928,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
51,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,175110.328125,,,0.0005342792137525976,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
52,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,176358,,,0.0005593120586127043,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
53,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,211048.5,,,0.0006238247151486576,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
54,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,128015.3359375,,,0.00012923618487548083,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
55,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,28426.666015625,,,0.00012122549378545955,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
56,8,One month after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,60668,,,0.00016894274449441582,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
57,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,605879.375,,,0.0020934015046805143,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
58,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,603922.5,,,0.0015416344394907355,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
59,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,691790.375,,,0.0025877454318106174,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
60,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,1862000,,,0.032882656902074814,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
61,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,2726900,,,0.03802439942955971,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
62,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,990941,,,0.03004901111125946,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
63,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,483353.59375,,,0.0015170997940003872,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
64,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,40765,,,0.0016513785813003778,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
65,8,Three Months after TWW irrigation,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,59828.1015625,,,0.0010140854865312576,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
66,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,108813,,,0.0013475505402311683,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
67,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,199545,,,0.0020476204808801413,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
68,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,163243.5,,,0.0014806666877120733,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
69,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,1308384.75,,,0.0119436951354146,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
70,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,603912,,,0.006526474375277758,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
71,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,792514.8125,,,0.010254114866256714,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
72,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,423331.1875,,,0.0001237392716575414,14,12,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
73,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,9088,,,0.00011861748498631641,14,12,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
74,8,Two Months after Irri. Break,intl1,integrase that assist DNA cassets capturing in plasmids,integrase,horizontal gene transfer,Yes,,,,,,Yes,No,"","",1,1,17149.5,,,0.000126320228446275,14,12,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
75,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,1,631.4199829101562,,,0.0000001205000046411442,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
76,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
77,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
78,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,1,754.5599975585938,,,0.00000041739130551832204,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
79,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
80,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
81,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
82,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
83,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
84,8,Prior irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
85,8,One month after TWW irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,1,1589.3333740234375,,,0.000001476164015912218,22,7,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
86,8,One month after TWW irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,1,2265.86669921875,,,0.0000044632843128056265,22,7,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
87,8,One month after TWW irrigation,blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,1,4192.5,,,0.000008438775694230571,22,7,2018,"","",2,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
