coordinate_id,country_id,country_other,station_name,national_code,relevant_ec_code_wise,relevant_ec_code_other,other_code,east_west,longitude1,longitude2,longitude3,longitude_decimal,north_south,latitude1,latitude2,latitude3,latitude_decimal,precision_coordinates_id,altitude
2572,ES,"",Surface water - Tortosa - Summer,SW-T-S,"","","","","","","",0.534803,"","","","",40.774842,0,""
2573,ES,"",Surface water - Amposta - Summer,SW-A-S,"","","","","","","",0.619198,"","","","",40.704215,0,""
2574,ES,"",Surface water - ValenciaP1 - Summer,SW-P1-S,"","","","","","","",-0.353,"","","","",39.4221,0,""
2575,ES,"",Surface water - ValenciaP6 - Summer,SW-P6-S,"","","","","","","",-0.3588,"","","","",39.306,0,""
2576,ES,"",Surface water - ValenciaP14 - Summer,SW-P14-S,"","","","","","","",-0.3506,"","","","",39.3939,0,""
2577,ES,"",Surface water - ValenciaP18 - Summer,SW-P18-S,"","","","","","","",-0.3397,"","","","",39.3814,0,""
2578,ES,"",Surface water - ValenciaP21 - Summer,SW-P21-S,"","","","","","","",-0.3235,"","","","",39.3495,0,""
2579,ES,"",Surface water - ValenciaP29 - Summer,SW-P29-S,"","","","","","","",-0.3184,"","","","",39.3275,0,""
2580,ES,"",Surface water - La Almozara - Spring,SW-LA-Sp,"","","","","","","",-0.760028,"","","","",41.581299,0,""
2581,ES,"",Surface water - La Cartuja - Spring,SW-LC-Sp,"","","","","","","",-0.855215,"","","","",41.650499,0,""
2582,ES,"",Surface water - Flix - Spring,SW-F-Sp,"","","","","","","",0.556073,"","","","",41.245315,0,""
2583,ES,"",Surface water - Tortosa - Spring,SW-T-Sp,"","","","","","","",0.534803,"","","","",40.774842,0,""
2584,ES,"",Surface water - Amposta - Spring,SW-A-Sp,"","","","","","","",0.619198,"","","","",40.704215,0,""
2585,ES,"",Surface water - ValenciaP1 - Spring,SW-P1-Sp,"","","","","","","",-0.353,"","","","",39.4221,0,""
2586,ES,"",Surface water - ValenciaP6 - Spring,SW-P6-Sp,"","","","","","","",-0.3588,"","","","",39.306,0,""
2587,ES,"",Surface water - ValenciaP14 - Spring,SW-P14-Sp,"","","","","","","",-0.3506,"","","","",39.3939,0,""
2588,ES,"",Surface water - ValenciaP18 - Spring,SW-P18-Sp,"","","","","","","",-0.3397,"","","","",39.3814,0,""
2589,ES,"",Surfacw water - Valencia21 - Spring,SW-P21-Sp,"","","","","","","",-0.3235,"","","","",39.3495,0,""
2590,ES,"",Surface water - ValenciaP29 - Spring,SW-P29-Sp,"","","","","","","",-0.3184,"","","","",39.3275,0,""
2921,ES,"",WWTP - La Almozara - Influent - Winter,WWTP-LA-I-W,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2922,ES,"",WWTP - La Almozara -Effluent - Winter,WWTP-LA-E-W,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2923,ES,"",WWTP - La Cartuja - Influent - Winter,WWTP-LC-I-W,"","","","","","","",-0.811,"","","","",41.6099,0,""
2924,ES,"",WWTP - La Cartuja -Effluent - Winter,WWTP-LC-E-W,"","","","","","","",-0.811,"","","","",41.6099,0,""
2925,ES,"",WWTP - Flix - Influent - Winter,WWTP-F-I-W,"","","","","","","",0.5519,"","","","",41.2391,0,""
2926,ES,"",WWTP - Flix -Effluent - Winter,WWTP-F-E-W,"","","","","","","",0.5519,"","","","",41.2391,0,""
2927,ES,"",WWTP - Tortosa - Influent - Winter,WWTP-T-I-W,"","","","","","","",0.5087,"","","","",40.7961,0,""
2928,ES,"",WWTP - Tortosa - Effluent - Winter,WWTP-T-E-W,"","","","","","","",0.5087,"","","","",40.7961,0,""
2929,ES,"",WWTP - Amposta - Influent - Winter,WWTP-A-I-W,"","","","","","","",0.6101,"","","","",40.7038,0,""
2930,ES,"",WWTP - Amposta -Effluent - Winter,WWTP-A-E-W,"","","","","","","",0.6101,"","","","",40.7038,0,""
2931,ES,"",WWTP - St Carles de la Ràpita - Influent - Winter,WWTP-StC-I-W,"","","","","","","",0.622,"","","","",40.6271,0,""
2932,ES,"",WWTP - St Carles de la Ràpita -Effluent - Winter,WWTP-StC-E-W,"","","","","","","",0.622,"","","","",40.6271,0,""
2933,ES,"",WWTP - Quart - Influent - Winter,WWTP-Q-I-W,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2934,ES,"",WWTP - Quart - Effluent - Winter,WWTP-Q-E-W,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2935,ES,"",WWTP - Albufera Sur - Influent - Winter,WWTP-AS-I-W,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2936,ES,"",WWTP - Albufera Sur - Effluent - Winter,WWTP-AS-E-W,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2937,ES,"",WWTP - SuecaPerelló - Influent - Winter,WWTP-SP-I-W,"","","","","","","",-0.281,"","","","",39.2742,0,""
2938,ES,"",WWTP - SuecaPerelló - Effluent - Winter,WWTP-SP-E-W,"","","","","","","",-0.281,"","","","",39.2742,0,""
2939,ES,"",WWTP - El Saler - Influent - Winter,WWTP-ES-I-W,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2940,ES,"",WWTP - El Saler - Effluent - Winter,WWTP-ES-E-W,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2941,ES,"",WWTP - Pinedo - Influent - Winter,WWTP-P-I-W,"","","","","","","",-0.3442,"","","","",39.4423,0,""
2942,ES,"",WWTP - Pinedo - Effluent - Winter,WWTP-P-E-W,"","","","","","","",-0.3442,"","","","",39.4423,0,""
2943,ES,"",WWTP - La Almozara - Influent - Summer (12/07),WWTP-LA-I-S 1,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2944,ES,"",WWTP - La Almozara -Effluent - Summer (12/07),WWTP-LA-E-S 1,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2945,ES,"",WWTP - La Cartuja - Influent - Summer (12/07),WWTP-LC-I-S 1,"","","","","","","",-0.811,"","","","",41.6099,0,""
2946,ES,"",WWTP - La Cartuja -Effluent - Summer (12/07),WWTP-LC-E-S 1,"","","","","","","",-0.811,"","","","",41.6099,0,""
2947,ES,"",WWTP - Flix - Influent - Summer,WWTP-F-I-S,"","","","","","","",0.5519,"","","","",41.2391,0,""
2948,ES,"",WWTP - Flix -Effluent - Summer,WWTP-F-E-S,"","","","","","","",0.5519,"","","","",41.2391,0,""
2949,ES,"",WWTP - Tortosa - Influent - Summer,WWTP-T-I-S,"","","","","","","",0.5087,"","","","",40.7961,0,""
2950,ES,"",WWTP - Tortosa - Effluent - Summer,WWTP-T-E-S,"","","","","","","",0.5087,"","","","",40.7961,0,""
2951,ES,"",WWTP - Amposta - Influent - Summer,WWTP-A-I-S,"","","","","","","",0.6101,"","","","",40.7038,0,""
2952,ES,"",WWTP - Amposta - Effluent - Summer,WWTP-A-E-S,"","","","","","","",0.6101,"","","","",40.7038,0,""
2953,ES,"",WWTP - St Carles de la Ràpita - Influent - Summer,WWTP-StC-I-S,"","","","","","","",0.622,"","","","",40.6271,0,""
2954,ES,"",WWTP - St Carles de la Ràpita -Effluent - Summer,WWTP-StC-E-S,"","","","","","","",0.622,"","","","",40.6271,0,""
2955,ES,"",WWTP - Quart - Influent - Summer,WWTP-Q-I-S,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2956,ES,"",WWTP - Quart - Effluent - Summer,WWTP-Q-E-S,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2957,ES,"",WWTP - Albufera Sur - Influent - Summer,WWTP-AS-I-S,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2958,ES,"",WWTP - Albufera Sur - Effluent - Summer,WWTP-AS-E-S,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2959,ES,"",WWTP - SuecaPerelló - Influent - Summer,WWTP-SP-I-S,"","","","","","","",-0.281,"","","","",39.2742,0,""
2960,ES,"",WWTP - SuecaPerelló - Effluent - Summer,WWTP-SP-E-S,"","","","","","","",-0.281,"","","","",39.2742,0,""
2961,ES,"",WWTP - El Saler - Influent - Summer,WWTP-ES-I-S,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2962,ES,"",WWTP - El Saler - Effluent - Summer,WWTP-ES-E-S,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2963,ES,"",WWTP - Pinedo - Influent - Summer,WWTP-P-I-S,"","","","","","","",-0.3442,"","","","",39.4423,0,""
2964,ES,"",WWTP - Pinedo - Effluent - Summer,WWTP-P-E-S,"","","","","","","",-0.3442,"","","","",39.4423,0,""
2965,ES,"",WWTP - La Almozara - Influent - Spring (21/03),WWTP-LA-I-Sp 1,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2966,ES,"",WWTP - La Almozara -Effluent - Spring (21/03),WWTP-LA-E-Sp 1,"","","","","","","",-0.9261,"","","","",41.6679,0,""
2967,ES,"",WWTP - La Cartuja - Influent - Spring (21/03),WWTP-LC-I-Sp 1,"","","","","","","",-0.811,"","","","",41.6099,0,""
2968,ES,"",WWTP - La Cartuja -Effluent - Spring (21/03),WWTP-LC-E-Sp 1,"","","","","","","",-0.811,"","","","",41.6099,0,""
2969,ES,"",WWTP - Flix - Influent - Spring,WWTP-F-I-Sp,"","","","","","","",0.5519,"","","","",41.2391,0,""
2970,ES,"",WWTP - Flix -Effluent - Spring,WWTP-F-E-Sp,"","","","","","","",0.5519,"","","","",41.2391,0,""
2971,ES,"",WWTP - Tortosa - Influent - Spring,WWTP-T-I-Sp,"","","","","","","",0.5087,"","","","",40.7961,0,""
2972,ES,"",WWTP - Tortosa - Effluent - Spring,WWTP-T-E-Sp,"","","","","","","",0.5087,"","","","",40.7961,0,""
2973,ES,"",WWTP - Amposta - Influent - Spring,WWTP-A-I-Sp,"","","","","","","",0.6101,"","","","",40.7038,0,""
2974,ES,"",WWTP - Amposta -Effluent - Spring,WWTP-A-E-Sp,"","","","","","","",0.6101,"","","","",40.7038,0,""
2975,ES,"",WWTP - St Carles de la Ràpita - Influent - Spring,WWTP-StC-I-Sp,"","","","","","","",0.622,"","","","",40.6271,0,""
2976,ES,"",WWTP - St Carles de la Ràpita -Effluent - Spring,WWTP-StC-E-Sp,"","","","","","","",0.622,"","","","",40.6271,0,""
2977,ES,"",WWTP - Quart - Influent - Spring,WWTP-Q-I-Sp,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2978,ES,"",WWTP - Quart - Effluent - Spring,WWTP-Q-E-Sp,"","","","","","","",-0.4134,"","","","",39.4546,0,""
2979,ES,"",WWTP - Albufera Sur - Influent - Spring,WWTP-AS-I-Sp,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2980,ES,"",WWTP - Albufera Sur - Effluent - Spring,WWTP-AS-E-Sp,"","","","","","","",-0.4029,"","","","",39.2708,0,""
2981,ES,"",WWTP - SuecaPerelló - Influent - Spring,WWTP-SP-I-Sp,"","","","","","","",-0.281,"","","","",39.2742,0,""
2982,ES,"",WWTP - SuecaPerelló - Effluent - Spring,WWTP-SP-E-Sp,"","","","","","","",-0.281,"","","","",39.2742,0,""
2983,ES,"",WWTP - El Saler - Influent - Spring,WWTP-ES-I-Sp,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2984,ES,"",WWTP - El Saler - Effluent - Spring,WWTP-ES-E-Sp,"","","","","","","",-0.3281,"","","","",39.3629,0,""
2985,ES,"",WWTP - Pinedo - Influent - Spring,WWTP-P-I-Sp,"","","","","","","",-0.3442,"","","","",39.4423,0,""
2986,ES,"",WWTP - Pinedo - Effluent - Spring,WWTP-P-E-Sp,"","","","","","","",-0.3442,"","","","",39.4423,0,""
